"Flight.Type","Airline","Flight.No","AverageDepartureDelay","AverageArrivalDelay","TotalFlight","ArrivalDelayedFlight","ArrivalPercDelay","DepartureDelayedFlight","DeparturePercDelay"
"Domestic","AZUL","AZU - 2711",5.66,8.1,529,182,0.34,138,0.26
"Domestic","AZUL","AZU - 2712",-14.4,-18.05,619,75,0.12,64,0.1
"Domestic","AZUL","AZU - 2713",-37.8,-36.94,396,59,0.15,30,0.08
"Domestic","AZUL","AZU - 2714",-13.44,-16.24,461,70,0.15,65,0.14
"Domestic","AZUL","AZU - 2715",-47.26,-38.45,450,43,0.1,35,0.08
"Domestic","AZUL","AZU - 2716",54.68,49.2,451,85,0.19,78,0.17
"Domestic","AZUL","AZU - 2717",39.55,38.59,428,102,0.24,99,0.23
"Domestic","AZUL","AZU - 2718",-2.78,-3.86,682,56,0.08,49,0.07
"Domestic","AZUL","AZU - 2719",2.31,-0.39,563,52,0.09,64,0.11
"Domestic","AZUL","AZU - 2720",-0.93,-6.98,91,5,0.05,5,0.05
"Domestic","AZUL","AZU - 2721",1.78,-1.33,91,8,0.09,12,0.13
"Domestic","AZUL","AZU - 2722",4.67,1.85,563,72,0.13,74,0.13
"Domestic","AZUL","AZU - 2723",3.33,-2.29,274,36,0.13,40,0.15
"Domestic","AZUL","AZU - 2724",2.48,-0.28,370,39,0.11,40,0.11
"Domestic","AZUL","AZU - 2725",3.23,-0.61,109,11,0.1,12,0.11
"Domestic","AZUL","AZU - 2726",4.17,0.74,76,15,0.2,14,0.18
"Domestic","AZUL","AZU - 2727",3.39,0.61,79,18,0.23,12,0.15
"Domestic","AZUL","AZU - 2728",-0.62,-2.92,526,53,0.1,55,0.1
"Domestic","AZUL","AZU - 2729",-3.84,-11.96,134,3,0.02,4,0.03
"Domestic","AZUL","AZU - 2730",-81.36,-61.69,516,41,0.08,41,0.08
"Domestic","AZUL","AZU - 2731",-68.86,-46.18,848,219,0.26,142,0.17
"Domestic","AZUL","AZU - 2732",-5.11,-7.52,810,65,0.08,73,0.09
"Domestic","AZUL","AZU - 2733",57.44,58.63,595,86,0.14,70,0.12
"Domestic","AZUL","AZU - 2734",-2.2,-5.88,258,13,0.05,14,0.05
"Domestic","AZUL","AZU - 2735",-3.99,-5.18,261,13,0.05,13,0.05
"Domestic","AZUL","AZU - 2736",3.63,0.61,95,16,0.17,18,0.19
"Domestic","AZUL","AZU - 2737",8.88,1.15,96,11,0.11,18,0.19
"Domestic","AZUL","AZU - 2738",-6.99,-10.82,168,4,0.02,3,0.02
"Domestic","AZUL","AZU - 2739",-5.61,-7.64,165,6,0.04,9,0.05
"Domestic","AZUL","AZU - 2740",8.74,10.78,85,24,0.28,19,0.22
"Domestic","AZUL","AZU - 2741",-6.71,-7.67,82,3,0.04,4,0.05
"Domestic","AZUL","AZU - 2742",-0.9,-7.13,62,6,0.1,4,0.06
"Domestic","AZUL","AZU - 2743",2.63,0.38,98,15,0.15,15,0.15
"Domestic","AZUL","AZU - 2744",-5.37,-16.19,116,7,0.06,4,0.03
"Domestic","AZUL","AZU - 2745",-6.63,-9.23,91,5,0.05,6,0.07
"Domestic","AZUL","AZU - 2746",-2.49,-4.78,51,2,0.04,1,0.02
"Domestic","AZUL","AZU - 2747",-3.98,-5.49,49,5,0.1,3,0.06
"Domestic","AZUL","AZU - 2748",3.18,0.42,132,17,0.13,17,0.13
"Domestic","AZUL","AZU - 2749",0.92,-0.52,130,14,0.11,20,0.15
"Domestic","AZUL","AZU - 2750",1.11,-2.3,128,9,0.07,12,0.09
"Domestic","AZUL","AZU - 2751",-4.74,-5.26,129,8,0.06,7,0.05
"Domestic","AZUL","AZU - 2752",1.8,1.13,134,14,0.1,12,0.09
"Domestic","AZUL","AZU - 2753",-1.64,-1.15,196,20,0.1,13,0.07
"Domestic","AZUL","AZU - 2754",10.59,8.06,32,3,0.09,3,0.09
"Domestic","AZUL","AZU - 2755",9.88,6.97,34,5,0.15,7,0.21
"Domestic","AZUL","AZU - 2756",-2.24,-1.5,134,9,0.07,5,0.04
"Domestic","AZUL","AZU - 2757",0.31,0.44,133,16,0.12,13,0.1
"Domestic","AZUL","AZU - 2758",-0.62,-4.27,131,7,0.05,5,0.04
"Domestic","AZUL","AZU - 2759",-0.52,-4.56,127,6,0.05,8,0.06
"Domestic","AZUL","AZU - 2760",41.79,38.99,347,38,0.11,26,0.07
"Domestic","AZUL","AZU - 2761",35.95,32.57,369,46,0.12,32,0.09
"Domestic","AZUL","AZU - 2762",2.74,1.5,86,19,0.22,14,0.16
"Domestic","AZUL","AZU - 2763",15.7,16.51,601,54,0.09,63,0.1
"Domestic","AZUL","AZU - 2764",-12.5,-16.7,568,68,0.12,64,0.11
"Domestic","AZUL","AZU - 2765",-35.83,-43.48,460,25,0.05,23,0.05
"Domestic","AZUL","AZU - 2766",-16.27,-18.41,479,48,0.1,33,0.07
"Domestic","AZUL","AZU - 2767",-17.84,-23.7,444,23,0.05,21,0.05
