"Flight.Type","Airline","Flight.No","TotalFlight"
"Domestic","AZUL","AZU - 2430",9
"Domestic","AZUL","AZU - 2432",10
"Domestic","AZUL","AZU - 2433",26
"Domestic","AZUL","AZU - 2445",1
"Domestic","AZUL","AZU - 2446",28
"Domestic","AZUL","AZU - 2447",54
"Domestic","AZUL","AZU - 2448",45
"Domestic","AZUL","AZU - 2449",43
"Domestic","AZUL","AZU - 2454",45
"Domestic","AZUL","AZU - 2456",42
"Domestic","AZUL","AZU - 2457",43
"Domestic","AZUL","AZU - 2458",10
"Domestic","AZUL","AZU - 2459",17
"Domestic","AZUL","AZU - 2460",27
"Domestic","AZUL","AZU - 2461",99
"Domestic","AZUL","AZU - 2462",50
"Domestic","AZUL","AZU - 2463",179
"Domestic","AZUL","AZU - 2468",90
"Domestic","AZUL","AZU - 2470",31
"Domestic","AZUL","AZU - 2483",1
"Domestic","AZUL","AZU - 2487",31
"Domestic","AZUL","AZU - 2489",5
"Domestic","AZUL","AZU - 2496",18
"Domestic","AZUL","AZU - 2497",1
"Domestic","AZUL","AZU - 2498",6
"Domestic","AZUL","AZU - 2499",8
"Domestic","AZUL","AZU - 2500",66
"Domestic","AZUL","AZU - 2501",65
"Domestic","AZUL","AZU - 2502",3
"Domestic","AZUL","AZU - 2503",77
"Domestic","AZUL","AZU - 2507",4
"Domestic","AZUL","AZU - 2516",34
"Domestic","AZUL","AZU - 2517",33
"Domestic","AZUL","AZU - 2519",9
"Domestic","AZUL","AZU - 2536",1
"Domestic","AZUL","AZU - 2538",3
"Domestic","AZUL","AZU - 2548",49
"Domestic","AZUL","AZU - 2549",80
"Domestic","AZUL","AZU - 2560",76
"Domestic","AZUL","AZU - 2562",30
"Domestic","AZUL","AZU - 2563",4
"Domestic","AZUL","AZU - 2564",5
"Domestic","AZUL","AZU - 2565",7
"Domestic","AZUL","AZU - 2566",92
"Domestic","AZUL","AZU - 2567",87
"Domestic","AZUL","AZU - 2569",1
"Domestic","AZUL","AZU - 2571",7
"Domestic","AZUL","AZU - 2572",51
"Domestic","AZUL","AZU - 2573",45
"Domestic","AZUL","AZU - 2574",4
"Domestic","AZUL","AZU - 2575",4
"Domestic","AZUL","AZU - 2579",3
"Domestic","AZUL","AZU - 2585",105
"Domestic","AZUL","AZU - 2586",96
"Domestic","AZUL","AZU - 2587",46
"Domestic","AZUL","AZU - 2590",12
"Domestic","AZUL","AZU - 2594",36
"Domestic","AZUL","AZU - 2595",35
"Domestic","AZUL","AZU - 2596",28
"Domestic","AZUL","AZU - 2597",38
"Domestic","AZUL","AZU - 2598",7
"Domestic","AZUL","AZU - 2599",1
"Domestic","AZUL","AZU - 2600",26
"Domestic","AZUL","AZU - 2601",22
"Domestic","AZUL","AZU - 2606",139
"Domestic","AZUL","AZU - 2607",143
"Domestic","AZUL","AZU - 2612",300
"Domestic","AZUL","AZU - 2613",305
"Domestic","AZUL","AZU - 2614",133
"Domestic","AZUL","AZU - 2615",130
"Domestic","AZUL","AZU - 2616",107
"Domestic","AZUL","AZU - 2619",17
